version,overall_word_count_mean,overall_word_count_std,overall_word_count_min,overall_word_count_max,overall_word_count_count,body_readability_flesch_reading_ease_mean,body_readability_flesch_reading_ease_std,body_readability_flesch_reading_ease_min,body_readability_flesch_reading_ease_max,body_readability_flesch_reading_ease_count,body_readability_flesch_kincaid_grade_mean,body_readability_flesch_kincaid_grade_std,body_readability_flesch_kincaid_grade_min,body_readability_flesch_kincaid_grade_max,body_readability_flesch_kincaid_grade_count,overall_sentiment_compound_mean,overall_sentiment_compound_std,overall_sentiment_compound_min,overall_sentiment_compound_max,overall_sentiment_compound_count
degraded,290.419,166.728,75,721,31,50.786,25.118,-11.440,87.720,31,9.168,4.553,3.300,22.100,31,0.167,0.777,-0.956,0.985,31
improved_degraded,652.645,263.891,342,1289,31,11.638,17.083,-23.660,43.900,31,15.668,3.176,9.700,22.200,31,0.961,0.071,0.699,0.999,31
improved_original,743.226,293.721,422,1744,31,5.632,21.987,-36.130,42.480,31,17.106,4.745,10.300,32.200,31,0.730,0.610,-0.978,0.999,31
original,986.833,432.480,607,1808,6,19.818,41.164,-59.490,57.870,6,15.883,7.173,8.500,28.800,6,0.956,0.046,0.870,0.996,6
