repo,pr_count,Mean_score_architecture_impact,StdDev_score_architecture_impact,Mean_score_code_quality,StdDev_score_code_quality,Mean_score_collaboration,StdDev_score_collaboration,Mean_score_maintainability,StdDev_score_maintainability,Mean_score_technical_leadership,StdDev_score_technical_leadership,Mean_score_user_impact,StdDev_score_user_impact
actions_runner,137,0.3353494297250779,0.24718964105355062,0.435224166758576,0.2868997434893858,0.3126605666160964,0.28045329896630483,0.19006151540789507,0.21857389193710125,0.3088859578553777,0.2765188385429482,0.5622443702534168,0.27203373177367146
angular_angular,3062,0.2810883992354633,0.2243840729775987,0.23090897126389137,0.22471816159992306,0.4710715901986212,0.32230660517798865,0.3373619102072068,0.24185154934728492,0.122202807469847,0.11144234451950918,0.18294964330486832,0.16447163420134733
ansible_ansible,906,0.42160568609073035,0.299508453985288,0.20789600215918047,0.2149360399355621,0.29488114111133695,0.28636771948039313,0.15466877815023752,0.15244402853887917,0.3429920783617984,0.34761710205709734,0.47694797887031,0.31063648414098927
apache_cassandra,299,0.2939220995900772,0.21978323447107403,0.6046549836453985,0.2624860141205342,0.3740905036582895,0.29920248744445627,0.309171811490628,0.24009850741610478,0.3229336780947586,0.22733006966033725,0.5494454242507102,0.33745883628164614
apache_hadoop,1110,0.29772653221446377,0.23654319993756773,0.511915334602734,0.3030419722707674,0.1455687815390594,0.15915589821424583,0.08974340818151157,0.0846093860313359,0.14740292275290898,0.16750048671984172,0.23337128782930133,0.22255047066925093
apache_kafka,2232,0.26134671083716987,0.24018352625083073,0.44157747783043877,0.2963081494324052,0.48595528614730865,0.32181064339575177,0.2222248454866964,0.23436645069809056,0.602055484502648,0.33198887784153724,0.22026045341722708,0.22199237651598794
apache_spark,5877,0.26719054689022975,0.23737958361714043,0.356041308086464,0.28301453837704366,0.5327833115196267,0.30575428707034,0.1773761836902227,0.2531885301680295,0.12495142945016498,0.14708037536650398,0.25493821996099825,0.2124031616396881
apple_swift,4847,0.580766995891672,0.2738480877421769,0.4520120967113439,0.25239102725538204,0.39453393776178797,0.25372481214254405,0.17939386674394062,0.1922862531765689,0.3232319135568945,0.28476684088318077,0.26604532590145535,0.20602001849198062
aspnet_aspnetcore,1814,0.24783852277079732,0.21999542099870006,0.39035262120656605,0.3205591345310265,0.38029820358590144,0.2990444720836802,0.3086014080586275,0.2606508835966131,0.2992905647403539,0.256048242494231,0.20889637609450873,0.22070841784279316
bazelbuild_bazel,973,0.296728308618888,0.25899794951071375,0.4083954455505172,0.26639189896467547,0.43349542506594296,0.27914189967512315,0.36038844316828333,0.267099304578214,0.27146002928509094,0.2208859904619783,0.48279901622494975,0.30459655646200723
cilium_cilium,4612,0.3146688372680452,0.24540026384329494,0.31695923044987206,0.25044677429683115,0.25506310105463725,0.2168155001844247,0.4765570553655535,0.31357758289129334,0.24046493232922045,0.22812223250918412,0.4627652741458343,0.3228141798012774
cockroachdb_cockroach,15537,0.245876509776328,0.23249980097847667,0.24499274390051184,0.2364502309799218,0.3933207495926889,0.29179911211325416,0.0925379331318405,0.1084027217978661,0.3578419240782669,0.27989299160151815,0.2920699172721801,0.25816225530454134
containerd_containerd,1347,0.32161708130987265,0.2369983620311057,0.24677798235526202,0.23845829979296637,0.5988228673277162,0.34235580225769213,0.2860330504468284,0.23661589074400105,0.37602796462456445,0.27048763482462074,0.3100791971317444,0.2550217497154476
coredns_coredns,135,0.47745974919310324,0.33576522980040335,0.3756029689408562,0.3166388683373683,0.453172242048162,0.32310960159432717,0.3243230706770663,0.32443566287711373,0.1890581039642846,0.23547665741439536,0.45447468249886125,0.29255529289196874
defold_defold,513,0.26598618507701133,0.22028420750403288,0.6469157635729913,0.24008746658815314,0.2442548195277767,0.21134368502844755,0.40123824200903374,0.29096551266380516,0.36074170276892986,0.2590061136065288,0.2268361044878804,0.21518492235032297
django_django,1019,0.4655258167997529,0.2757056465356272,0.40524089602722446,0.283537448241357,0.6209123829257207,0.29658185080569255,0.36901056898485457,0.25972966952031123,0.3529621871833537,0.23707679845507548,0.507991044332435,0.30491168787924655
